`,index,obs_1,obs_2,obs_3,obs_4,obs_5,action_1,action_2,action_3,reward
41,0,-0.45549655,-0.416095614,-0.451606989,-0.486494809,-0.426131487,-0.154990762,-0.158374041,0.0718956440687179,1.8154754638671875
42,0,-0.455651551,-0.41767934,-0.451193452,-0.486317903,-0.422593832,-0.190995201,-0.673249722,0.1476655155420303,1.580981969833374
43,0,-0.455842555,-0.424411833,-0.450344175,-0.481785297,-0.412742257,-0.220820442,-1.0,0.1789322793483734,1.3515872955322266
44,0,-0.45606336,-0.434411854,-0.449315012,-0.478243679,-0.400427669,-0.242145881,-1.0,0.0948292016983032,1.1317417621612549
45,0,-0.456305504,-0.444411844,-0.448769599,-0.477485031,-0.380719036,-0.256169736,-1.0,0.0316208451986312,0.8061805963516235
46,0,-0.456561685,-0.454411834,-0.448587745,-0.473303735,-0.360706896,-0.25533855,-1.0,0.0137509033083915,0.2998526990413666
47,0,-0.456817001,-0.464411825,-0.44850865,-0.463044554,-0.340851605,-0.22531639,-1.0,0.05736093968153,0.1368588060140609
48,0,-0.457042336,-0.474411845,-0.448178738,-0.4598234,-0.334215701,-0.183521003,-0.75301671,0.0899983942508697,-0.279076397
49,0,-0.457225859,-0.481941998,-0.447661102,-0.445606858,-0.335271776,-0.149207324,0.0640200972557067,0.096085324883461,-0.046025433
50,0,-0.45737505,-0.481301814,-0.447108477,-0.447562337,-0.352710456,-0.13727209,0.8805392384529114,0.0842756032943725,0.4634854793548584
51,0,-0.457512319,-0.47249642,-0.446623772,-0.456472576,-0.376930833,-0.060185809,1.0,0.2325170636177063,1.023951768875122
52,0,-0.45757252,-0.4624964,-0.445286423,-0.468372524,-0.397277623,-0.024474565,1.0,0.3271988928318023,1.4649791717529297
53,0,-0.457596987,-0.452496409,-0.443404526,-0.474553019,-0.422838837,0.0085179135203361,1.0,0.3398885726928711,1.46697199344635
54,0,-0.457588464,-0.442496419,-0.441449642,-0.469202995,-0.439088166,0.0401487313210964,1.0,0.2809649109840393,1.6674931049346924
55,0,-0.45754832,-0.432496399,-0.439833671,-0.473492473,-0.446271926,0.0696803703904151,1.0,0.1936761885881424,2.089416742324829
56,0,-0.457478642,-0.422496408,-0.438719749,-0.484763443,-0.454651326,0.0513080917298793,0.9564372897148132,0.0286879986524581,2.250244617462158
57,0,-0.457427323,-0.412932038,-0.438554734,-0.491048276,-0.451879621,-0.018768366,0.5144453644752502,-0.22708793,2.3055405616760254
58,0,-0.457446098,-0.407787591,-0.439860851,-0.495222479,-0.444886595,-0.154357508,-0.623652875,-0.327943832,1.9512763023376465
59,0,-0.457600474,-0.414024115,-0.44174701,-0.487175822,-0.433600187,-0.19159852,-1.0,-0.37245068,1.5380831956863403
60,0,-0.457792073,-0.424024105,-0.443889201,-0.479068369,-0.416603208,-0.20254983,-1.0,-0.367461234,1.348139405250549
61,0,-0.45799461,-0.434024125,-0.446002662,-0.479347348,-0.396771908,-0.216534421,-1.0,-0.358563542,0.9658174514770508
62,0,-0.458211154,-0.444024116,-0.448064953,-0.474148691,-0.374135643,-0.22915335,-1.0,-0.359503806,0.5721920132637024
63,0,-0.458440304,-0.454024106,-0.450132638,-0.467653275,-0.354259372,-0.241980597,-1.0,-0.339139223,-0.204716146
64,0,-0.458682269,-0.464024127,-0.4520832,-0.4478589,-0.335951716,-0.221963182,-1.0,-0.101488456,0.3407188355922699
65,0,-0.458904237,-0.474024117,-0.452666938,-0.467584103,-0.331319541,-0.187065303,-0.382727325,-0.032693952,0.2498800754547119
66,0,-0.459091306,-0.477851391,-0.452854961,-0.460792392,-0.342610836,-0.146210864,0.6742719411849976,-0.048059091,0.1711910814046859
67,0,-0.459237516,-0.471108675,-0.453131378,-0.449967861,-0.367215514,-0.073164046,1.0,0.1899967640638351,1.0600407123565674
68,0,-0.459310681,-0.461108655,-0.452038616,-0.471254498,-0.392240554,-0.027370807,1.0,0.3255592286586761,0.9629216194152832
69,0,-0.459338039,-0.451108664,-0.450166136,-0.462881356,-0.407648116,-0.00539026,1.0,0.3631823658943176,1.49612557888031
70,0,-0.459343433,-0.441108674,-0.448077291,-0.476971745,-0.418697298,0.0107767321169376,1.0,0.3091953098773956,1.763546586036682
71,0,-0.459332675,-0.431108683,-0.446298927,-0.482099473,-0.430056244,0.0150414928793907,1.0,0.1754529774188995,1.7775152921676636
72,0,-0.459317625,-0.421108663,-0.44528982,-0.479308754,-0.439825237,-0.003702704,0.9720211625099182,-8.56e-05,2.0487730503082275
73,0,-0.45932132,-0.411388457,-0.445290297,-0.487637281,-0.441965431,-0.05450787,0.555260956287384,-0.274983883,2.2671914100646973
74,0,-0.459375829,-0.405835837,-0.446871877,-0.496071666,-0.43850413,-0.175875023,-0.437770367,-0.308903873,2.124605894088745
75,0,-0.459551722,-0.41021356,-0.448648572,-0.493097901,-0.433166921,-0.230531111,-1.0,-0.529985905,1.710594892501831
76,0,-0.459782243,-0.42021355,-0.451696783,-0.481393039,-0.42688036,-0.230125055,-1.0,-0.465821087,1.4946638345718384
77,0,-0.460012376,-0.430213541,-0.454375982,-0.477902591,-0.41575864,-0.225372002,-1.0,-0.38581565,1.190585732460022
78,0,-0.460237741,-0.440213561,-0.456595004,-0.474410564,-0.395826906,-0.225424513,-1.0,-0.327375054,0.4591428339481354
79,0,-0.460463166,-0.450213552,-0.458477914,-0.458508015,-0.370390207,-0.230516389,-1.0,-0.274300218,0.561084508895874
80,0,-0.460693687,-0.460213542,-0.46005556,-0.468396842,-0.350917965,-0.204837278,-1.0,-0.04921557,0.4094745516777038
81,0,-0.460898519,-0.470213562,-0.460338622,-0.465766937,-0.343646675,-0.173115447,-0.458157539,0.0349209755659103,-0.379302859
82,0,-0.46107164,-0.474795133,-0.460137784,-0.436948717,-0.351223528,-0.121403649,0.6172266006469727,-0.051475972,0.1919962465763092
83,0,-0.461193025,-0.468622863,-0.460433841,-0.448186785,-0.374639243,-0.032734472,1.0,0.1785845309495926,1.1232280731201172
84,0,-0.461225778,-0.458622873,-0.459406704,-0.470793992,-0.399940789,-0.000694778,1.0,0.317830741405487,1.3299533128738403
85,0,-0.461226463,-0.448622853,-0.457578689,-0.471386611,-0.418835461,0.0128062143921852,1.0,0.3569619953632355,1.4778562784194946
86,0,-0.461213648,-0.438622862,-0.455525607,-0.471962422,-0.431898355,0.025050600990653,1.0,0.3231571912765503,1.8330925703048704
87,0,-0.461188614,-0.428622872,-0.453666955,-0.482045531,-0.437172651,0.0207799412310123,1.0,0.1906249523162841,2.0110177993774414
88,0,-0.461167842,-0.418622851,-0.452570587,-0.48658368,-0.441350758,-0.023880515,0.9509506821632384,-0.006619275,2.171483993530273
89,0,-0.461191714,-0.409113348,-0.452608645,-0.491571426,-0.442434102,-0.08238478,0.522754430770874,-0.284596205,2.207026243209839
90,0,-0.461274087,-0.403885812,-0.454245508,-0.494634837,-0.436798096,-0.183992743,-0.223236471,-0.288713485,2.004160165786743
91,0,-0.461458087,-0.406118184,-0.455906063,-0.491969705,-0.424506932,-0.269361258,-1.0,-0.346254051,1.7587145566940308
92,0,-0.46172744,-0.416118175,-0.457897544,-0.488429457,-0.410583049,-0.282474309,-1.0,-0.359110773,1.417711615562439
93,0,-0.462009937,-0.426118165,-0.459962994,-0.482286394,-0.394912004,-0.287618041,-1.0,-0.336297661,0.7392203211784363
94,0,-0.462297529,-0.436118186,-0.461897224,-0.467175961,-0.372394115,-0.287346989,-1.0,-0.315104008,0.6679630875587463
95,0,-0.462584883,-0.446118176,-0.463709563,-0.47353074,-0.346204072,-0.251171768,-1.0,-0.16365698,0.2545320093631744
96,0,-0.462836057,-0.456118166,-0.46465084,-0.468010753,-0.321420938,-0.210186228,-1.0,-0.003597833,-0.108277246
97,0,-0.463046253,-0.466118187,-0.464671522,-0.458367974,-0.314068377,-0.164770976,-0.517904997,0.0639269351959228,-0.110013738
98,0,-0.46321103,-0.471297234,-0.464303851,-0.455659091,-0.322021395,-0.126562759,0.6282969117164612,0.0430237650871276,0.4252243041992187
99,0,-0.46333757,-0.465014249,-0.464056402,-0.466120541,-0.344160765,-0.059576873,1.0,0.0949806272983551,0.7704123258590698
100,0,-0.463397145,-0.455014259,-0.463510096,-0.470173389,-0.366521031,-0.027302343,1.0,0.3016282320022583,1.0262351036071775
101,0,-0.463424444,-0.445014268,-0.461775273,-0.470489591,-0.391154706,-0.047562856,1.0,0.4260798990726471,1.3945393562316897
102,0,-0.463472009,-0.435014248,-0.459324658,-0.476604193,-0.409641325,-0.060458299,1.0,0.4462557137012481,1.657656192779541
103,0,-0.463532478,-0.425014257,-0.456758022,-0.480227351,-0.425083578,-0.048885319,1.0,0.3538920879364013,1.6987227201461792
104,0,-0.463581353,-0.415014267,-0.454722583,-0.479473323,-0.431452274,-0.060257945,1.0,0.1865556836128235,2.171385765075684
105,0,-0.463641614,-0.405014247,-0.45364961,-0.49416393,-0.434646815,-0.095457658,0.8700993657112122,-0.00997895,2.2082808017730717
106,0,-0.463737071,-0.400000006,-0.45370701,-0.495505005,-0.434313059,-0.161042735,0.1947218775749206,-0.112656593,2.1519196033477783
107,0,-0.463898122,-0.400000006,-0.454354942,-0.497365236,-0.423096269,-0.253111482,-1.0,0.0836363732814788,1.6756778955459597
108,0,-0.464151233,-0.409999996,-0.453873903,-0.484958053,-0.41269362,-0.287007809,-1.0,-0.014997035,1.499337911605835
109,0,-0.46443823,-0.419999987,-0.45396018,-0.483682781,-0.398885429,-0.284763336,-1.0,-0.002872705,1.0970314741134644
110,0,-0.464723021,-0.430000007,-0.453976691,-0.479279131,-0.37186572,-0.287536919,-1.0,0.077028676867485,0.7214478850364685
111,0,-0.465010554,-0.439999998,-0.453533649,-0.474522561,-0.348577112,-0.26524812,-1.0,0.2583736777305603,0.0069529400207102
112,0,-0.465275794,-0.449999988,-0.452047616,-0.457903355,-0.32698524,-0.235554859,-1.0,0.3305459916591644,0.1977331340312957
113,0,-0.465511352,-0.460000008,-0.450146466,-0.466564208,-0.320080698,-0.178852886,-0.675146103,0.2555019557476043,-0.028779402
114,0,-0.465690196,-0.466751456,-0.448676944,-0.458209723,-0.322492898,-0.130454168,0.4769096970558166,0.1636713743209839,0.4352690279483795
115,0,-0.46582064,-0.461982369,-0.447735578,-0.467084736,-0.342272699,-0.060712952,1.0,0.1176236122846603,0.5478435158729553
116,0,-0.465881377,-0.451982379,-0.447059065,-0.46189037,-0.369113266,-0.046690043,1.0,0.3255960941314697,0.9910359382629396
117,0,-0.465928048,-0.441982359,-0.445186377,-0.467623979,-0.396231622,-0.047309328,1.0,0.4470467567443847,1.5157073736190796
118,0,-0.465975374,-0.431982368,-0.442615181,-0.478321522,-0.416606158,-0.038518343,1.0,0.4491339325904846,1.7142231464385986
119,0,-0.466013879,-0.421982378,-0.440031976,-0.478970647,-0.43451041,-0.018415682,1.0,0.3426347970962524,1.8571165800094604
120,0,-0.466032296,-0.411982358,-0.438061297,-0.479151994,-0.448255718,-0.015517641,1.0,0.1676208525896072,2.2736732959747314
121,0,-0.466047823,-0.401982367,-0.437097222,-0.490737647,-0.455154419,-0.049108792,0.827064573764801,-0.091960013,2.3530280590057373
122,0,-0.466096938,-0.400000006,-0.437626123,-0.495470524,-0.448891222,-0.104834065,0.3687328696250915,-0.295591116,2.291637897491455
123,0,-0.466201752,-0.400000006,-0.439326227,-0.495727271,-0.441981971,-0.198922291,-0.549539685,-0.243331105,1.9852324724197388
124,0,-0.466400683,-0.405495405,-0.440725774,-0.490677208,-0.426491648,-0.252349466,-1.0,-0.291100889,1.661030411720276
125,0,-0.466653019,-0.415495396,-0.442400038,-0.486191422,-0.407528788,-0.255502343,-1.0,-0.253160894,1.2925759553909302
126,0,-0.466908544,-0.425495386,-0.44385609,-0.47999239,-0.389280379,-0.257458627,-1.0,-0.245337784,0.5830153226852417
127,0,-0.467166007,-0.435495406,-0.445267171,-0.466642469,-0.358374119,-0.26706031,-1.0,-0.261905938,0.1778602451086044
128,0,-0.467433065,-0.445495397,-0.446773529,-0.459133863,-0.340384454,-0.26512754,-1.0,-0.148165002,-0.063008279
129,0,-0.467698187,-0.455495387,-0.447625697,-0.454335511,-0.330692679,-0.226375565,-0.596417308,-0.029716685,0.0704059451818466
130,0,-0.467924565,-0.461459577,-0.447796613,-0.458334297,-0.332037717,-0.176437691,0.540249764919281,-0.068522945,0.476536363363266
131,0,-0.468100995,-0.456057072,-0.448190749,-0.466188282,-0.349088788,-0.114782393,1.0,0.11202073097229,0.8209502696990967
132,0,-0.468215764,-0.446057081,-0.447546452,-0.469965041,-0.372199893,-0.057363313,1.0,0.2912031412124634,1.105435848236084
133,0,-0.468273133,-0.436057061,-0.445871592,-0.473207772,-0.390920252,-0.034831513,1.0,0.3811100721359253,1.4335814714431765
134,0,-0.468307972,-0.42605707,-0.443679601,-0.474952877,-0.418499529,-0.013204046,1.0,0.3802934288978576,1.8288874626159668
135,0,-0.468321174,-0.41605708,-0.441492349,-0.483208925,-0.433261931,0.0095880664885044,1.0,0.3158633410930633,2.154817581176758
136,0,-0.468311578,-0.40605706,-0.439675629,-0.48981005,-0.446051627,0.0136312842369079,1.0,0.1589840501546859,2.3416805267333984
137,0,-0.468297958,-0.400000006,-0.438761234,-0.494457513,-0.450795472,-0.013507482,0.8820111155509949,-0.066603974,2.2488489151000977
138,0,-0.468311459,-0.400000006,-0.439144313,-0.49230966,-0.447955936,-0.068251714,0.4498816132545471,-0.307578415,2.1591572761535645
139,0,-0.468379706,-0.400000006,-0.440913349,-0.494039685,-0.433796674,-0.157853827,-0.253278255,-0.32598716,1.7692781686782837
140,0,-0.468537569,-0.402532786,-0.442788303,-0.486120492,-0.418566316,-0.240171358,-0.939849615,-0.463492453,1.2566521167755127
141,0,-0.468777746,-0.411931276,-0.445454091,-0.475108117,-0.400340885,-0.249839053,-1.0,-0.470734537,1.1160858869552612
142,0,-0.469027579,-0.421931267,-0.448161542,-0.478000343,-0.377607554,-0.259933889,-1.0,-0.505183578,0.6730190515518188
143,0,-0.469287515,-0.431931287,-0.45106712,-0.469852716,-0.3577438,-0.27033323,-1.0,-0.51034987,0.3582412302494049
144,0,-0.469557852,-0.441931278,-0.45400241,-0.463360846,-0.3457416,-0.249855086,-0.956659436,-0.278042316,0.3654738366603851
145,0,-0.469807714,-0.451497883,-0.455601573,-0.464235425,-0.343841136,-0.198621765,-0.170452163,-0.189934433,0.4070039689540863
146,0,-0.470006317,-0.453202397,-0.456693977,-0.463848919,-0.349153608,-0.133054465,0.7983177304267883,-0.04766205,0.6042477488517761
147,0,-0.470139384,-0.445219219,-0.456968129,-0.464404434,-0.367211461,-0.070756048,1.0,0.1626932770013809,0.8558294773101807
148,0,-0.470210135,-0.435219228,-0.456032395,-0.466818124,-0.385128528,-0.028458711,1.0,0.3032187819480896,0.988793969154358
149,0,-0.470238596,-0.425219208,-0.454288423,-0.463804692,-0.407465279,-0.009777766,1.0,0.370608389377594,1.6568653583526611
150,0,-0.470248371,-0.415219218,-0.452156842,-0.482619822,-0.41782707,0.0007238574326038,1.0,0.3383708000183105,1.7866194248199463
151,0,-0.470247656,-0.405219227,-0.45021069,-0.482852459,-0.430104584,0.0078996308147907,1.0,0.2345807254314422,1.9488170146942136
152,0,-0.470239758,-0.400000006,-0.44886148,-0.485976666,-0.436951697,-0.02040324,1.0,0.0759101510047912,2.0859904289245605
153,0,-0.470260143,-0.400000006,-0.448424906,-0.491469562,-0.434190303,-0.069503546,0.7003021836280823,-0.185485914,2.099860668182373
154,0,-0.470329642,-0.400000006,-0.449491709,-0.492174894,-0.433461338,-0.121983334,0.3454096913337707,-0.328765094,2.031933307647705
155,0,-0.470451623,-0.400000006,-0.451382637,-0.492345989,-0.426155388,-0.196588546,-0.242494479,-0.310214937,1.8146024942398071
156,0,-0.470648229,-0.402424932,-0.453166842,-0.489251345,-0.413706213,-0.28010273,-0.957132995,-0.357194364,1.2781494855880735
157,0,-0.470928341,-0.411996275,-0.455221266,-0.478013337,-0.393774897,-0.299739301,-1.0,-0.424684912,0.930287539958954
158,0,-0.471228063,-0.421996266,-0.457663834,-0.475180715,-0.367486596,-0.305187374,-1.0,-0.414919227,0.1802287995815277
159,0,-0.471533269,-0.431996286,-0.460050255,-0.456213504,-0.349382341,-0.286195606,-1.0,-0.227383181,-0.152087212
160,0,-0.47181946,-0.441996276,-0.46135807,-0.447604328,-0.341978252,-0.230019554,-0.406481266,-0.109128043,0.0801864638924598
161,0,-0.472049475,-0.446061075,-0.461985707,-0.457035154,-0.336913228,-0.190048099,0.5393014550209045,-0.062572926,0.1285643130540847
162,0,-0.472239524,-0.440668076,-0.4623456,-0.456834584,-0.342352659,-0.129612491,0.973787248134613,0.0273159742355346,0.1240288615226745
163,0,-0.472369134,-0.430930197,-0.462188512,-0.451503545,-0.357892215,-0.093887284,1.0,0.2047655433416366,0.8717361092567444
164,0,-0.472463012,-0.420930207,-0.461010784,-0.47144565,-0.372836679,-0.075085089,1.0,0.3084421753883362,1.378108024597168
165,0,-0.472538114,-0.410930187,-0.459236771,-0.480377734,-0.396677554,-0.076148674,1.0,0.3611476421356201,1.7942744493484497
166,0,-0.472614259,-0.400930196,-0.457159609,-0.48964867,-0.410481453,-0.082830891,1.0,0.3220222592353821,1.7354583740234375
167,0,-0.472697079,-0.400000006,-0.455307484,-0.483856827,-0.421975344,-0.094725132,1.0,0.2135743647813797,1.7593636512756348
168,0,-0.472791821,-0.400000006,-0.454079121,-0.483593494,-0.425155938,-0.120510951,1.0,0.0654923617839813,1.9301893711090088
169,0,-0.472912312,-0.400000006,-0.45370242,-0.489861339,-0.423434913,-0.158916995,0.7315831780433655,-0.073503464,1.7897096872329712
170,0,-0.473071247,-0.400000006,-0.454125196,-0.488277107,-0.414139658,-0.204287425,0.4000495672225952,-0.204226613,1.6303353309631348
171,0,-0.473275512,-0.400000006,-0.455299795,-0.487660468,-0.40005213,-0.271509886,-0.317516983,-0.201190755,1.2731658220291138
172,0,-0.473547041,-0.403175175,-0.456456959,-0.482728809,-0.379130155,-0.286595583,-0.981564939,-0.083077565,1.0472513437271118
173,0,-0.473833621,-0.412990808,-0.45693478,-0.480398387,-0.36352995,-0.272915244,-1.0,-0.059203193,0.7074077725410461
174,0,-0.47410655,-0.422990829,-0.457275301,-0.471553862,-0.356079221,-0.25413084,-1.0,0.0057576149702072,0.2271495461463928
175,0,-0.474360675,-0.432990819,-0.457242191,-0.456108302,-0.354390025,-0.216710463,-0.260428309,0.0365994274616241,0.3196539878845215
176,0,-0.474577397,-0.435595095,-0.457031667,-0.460027128,-0.351883978,-0.154571921,0.6548043489456177,0.0056003928184509,0.473086267709732
177,0,-0.474731952,-0.429047048,-0.456999481,-0.464990199,-0.352338046,-0.092870876,0.9909036755561828,0.0544748306274414,0.7109218239784241
178,0,-0.474824816,-0.419138014,-0.456686139,-0.470910728,-0.358359963,-0.074281439,1.0,0.0876876711845398,1.191202163696289
179,0,-0.474899113,-0.409138024,-0.456181824,-0.482864499,-0.370526731,-0.063664526,1.0,0.1557574868202209,1.5383976697921753
180,0,-0.474962771,-0.400000006,-0.455285966,-0.488214165,-0.38919726,-0.062850386,1.0,0.1917770802974701,1.6813015937805176
181,0,-0.475025624,-0.400000006,-0.454182953,-0.486988008,-0.407166153,-0.075558811,1.0,0.2016051411628723,1.7865653038024902
182,0,-0.475101173,-0.400000006,-0.453023404,-0.487215012,-0.417011529,-0.100003123,1.0,0.160900130867958,1.4293160438537598
183,0,-0.47520119,-0.400000006,-0.452097982,-0.474806845,-0.418511093,-0.122254074,1.0,0.0681788921356201,1.6661429405212402
184,0,-0.475323439,-0.400000006,-0.451705873,-0.483809918,-0.415184587,-0.151376709,0.8418212532997131,-0.002797663,1.5937305688858032
185,0,-0.475474805,-0.400000006,-0.451721966,-0.486570925,-0.399660259,-0.197245434,0.543269693851471,-0.122285858,1.481680154800415
186,0,-0.475672066,-0.400000006,-0.452425271,-0.487435281,-0.385862201,-0.224548355,0.2366653680801391,-0.214413226,1.284127950668335
187,0,-0.475896597,-0.400000006,-0.453658491,-0.486270219,-0.369602114,-0.268988162,-0.483559787,-0.17823875,1.203857183456421
188,0,-0.476165593,-0.404835612,-0.454683632,-0.483888209,-0.368721128,-0.26821062,-0.637425303,-0.151339382,0.5835133194923401
189,0,-0.476433814,-0.411209852,-0.455554068,-0.464874297,-0.363728464,-0.250614762,-0.348845094,-0.11582914,0.9608731269836426
190,0,-0.476684421,-0.414698303,-0.456220269,-0.477261364,-0.364303172,-0.212887868,0.1763808131217956,-0.097937852,0.9390749931335448
191,0,-0.476897299,-0.412934482,-0.456783563,-0.476811618,-0.36347267,-0.157217607,0.7160858511924744,-0.068328857,0.8598505854606628
192,0,-0.477054536,-0.40577364,-0.457176566,-0.473788321,-0.36462009,-0.125741914,0.8652364611625671,-0.020769089,1.2356743812561035
193,0,-0.477180272,-0.400000006,-0.457296014,-0.486061513,-0.36538285,-0.113166451,0.918261468410492,-0.008983523,1.2136197090148926
194,0,-0.477293432,-0.400000006,-0.457347661,-0.48358652,-0.370602459,-0.102937937,0.9594531655311584,0.0059747099876403,1.0433815717697144
195,0,-0.477396369,-0.400000006,-0.457313299,-0.475619555,-0.377479494,-0.099064589,0.9879007935523988,0.0156651735305786,1.4324949979782104
196,0,-0.477495432,-0.400000006,-0.457223207,-0.48477897,-0.388912618,-0.107539192,0.9846715331077576,0.0123080313205719,1.3304516077041626
197,0,-0.477602988,-0.400000006,-0.457152426,-0.480823517,-0.390574634,-0.120950684,0.9481361508369446,0.0021177232265472,1.4901580810546875
198,0,-0.477723926,-0.400000006,-0.457140237,-0.485580713,-0.392273694,-0.132623449,0.89478999376297,-0.00810492,1.019523859024048
199,0,-0.477856547,-0.400000006,-0.457186848,-0.473286539,-0.382092804,-0.147648707,0.7928768992424011,-0.032636911,1.2053736448287964
200,0,-0.478004217,-0.400000006,-0.457374573,-0.480628729,-0.378651202,-0.160789922,0.6747428774833679,-0.070533812,1.2566298246383667
